state,perrep,perdem,perind,permultiracial,perwhite,perblack,perindig,perasian,perpacific,perother,perlatinx,popcit18plus,percit18plusmale,percit18plusfem,medage,perhsplus,perugplus,unemp,medhhincome,per2034,per3554,per5564,per65plus,singledadfam,singlemomfam,vets,bornstateres,forborncit,noneng,spanish,nonengsp,nonsplang,splang,forlang,meanhhincome,perfoodstamp,percapitainc,medearngap,perhealthins,perbelowpov,minblack,minlatinx,minother,femdomcit18plus,femdom,gunbckcheck,evangelical_pop,vepvotingrate,wideo,citi6013,w_gayrights_employment_discrimit,giexorder,gilaw,giexorder_law,soexorder,solaw,soexorder_law,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,regulation_physician_suicide,earned_income_taxcredit,x_tax_rate_rich,x_top_corporateincometaxrate,genderrights_era_ratification,genderrights_state_eras,genrights_genddiscrim_post1964,statemin,employ_pop,pctwomenearn,death_penalty,w_ec_access,abortion_consent_1992_2014,w_abortion_parental_notice_1983_,abortion_medicaid
Missouri,41,42,18,2.5,84.6,12.8,1.3,2.4,0.2,1.3,4,4567771,48.3,51.7,38.4,88.9,27.8,5.3,50238,20.1,25.4,13.3,15.6,4.3,11.8,9,66.1,44.4,6,2.6,3.4,1,0,1,68065,12.1,27384,10138,90.2,14.8,1,0,0,1,1,130914,40.099998,0.60,-0.282863528,44.96125,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,7.25,0.714214,74.67,0,0,1,2,0
Montana,49,30,21,2.6,91.5,1,8.1,1.3,0.2,0.8,3.6,797198,50,50,39.9,93.5,30.6,4.5,49509,19.4,24,14.6,17.3,3.8,8.4,10.6,54.3,53.3,4.2,1.5,2.7,1,0,1,66110,9.1,27735,12680,88.4,14.6,0,0,1,0,0,91129,16.9,0.63,0.054186091,49.57113,0,0,0,0,1,0,1,0,1,1,1,0,7.11,6.75,1,1,1,7.9,0.81458375,77.79,0,1,0,2,1
Nebraska,47,36,17,2.3,90.3,5.8,1.6,2.7,0.1,1.9,10.4,1352947,49.1,50.9,36.1,91,30.2,3.2,54996,20.6,24.5,12.6,14.8,3.9,9.5,8.7,64.9,37.7,11.1,7.4,3.7,0,1,2,72308,8.7,29000,9929,91.8,12.6,0,1,0,1,1,320636,27.9,0.65,-0.118014611,34.54568,0,0,0,0,0,0,0,0,1,0,0,1,7.75,6,0,0,0,7.25,0.76262425,83.58,0,1,1,2,0
Nevada,37,46,18,5,71.6,10.2,2.1,10.2,1.2,10.2,28.1,1942764,50,50,37.8,85.6,23.6,7.9,52431,20.7,26.9,12.3,14.6,6.1,13.4,9.5,25.8,46.8,30.2,21.2,9,0,1,2,70576,13.1,27220,7116,87.7,14.7,0,1,0,0,0,57103,12.7,0.61,-0.081254333,46.73088,0,0,0,0,0,0,0,0,1,0,0,0,3.84,4.53,1,0,1,7.25,0.84869825,88.44,1,1,1,2,0
New Hampshire,35,44,20,1.7,95.2,2,0.8,3.1,0.1,0.5,3.3,1035684,48.8,51.2,42.8,93.1,35.7,4.2,70303,18.4,27.2,15.2,16.4,4,10,9.5,42.1,56.9,7.8,2.1,5.7,1,0,1,89735,7.8,35925,13353,93.7,8.2,0,1,0,1,1,52222,17.1,0.60,-0.032834146,50.67664,0,0,0,0,0,0,0,0,1,0,0,1,5.51,7.81,0,1,1,7.25,0.84029125,76.56,0,1,1,1,0
New Jersey,30,51,19,2.7,69.7,14.8,0.7,10.4,0.2,7.2,19.7,6154126,47.8,52.2,39.6,89.1,37.6,6.6,72222,19.3,27.8,13.1,14.9,4.9,13.1,4.9,52.6,55.2,30.8,15.9,14.9,0,1,2,101061,9.4,37245,11089,91.3,10.8,0,1,0,1,1,85717,4.1999998,0.70,-0.214291319,59.65292,1,0,0,0,0,1,1,0,1,0,0,0,0,8.5,1,1,1,7.25,0.83350075,83.35,0,2,0,1,0
New Mexico,37,48,15,3.4,76,3.1,10.5,2.4,0.1,11.4,48,1470045,49,51,37.4,84.6,26.5,7.4,45382,20.3,24.1,13,15.9,5.8,13.1,9.6,53.3,36.3,34.3,27.2,7.1,0,1,2,62747,17.5,24388,6370,89.1,20.4,0,1,0,1,1,60103,4.6999998,0.62,-0.021113239,56.40086,2,0,1,1,1,1,1,1,0,0,0,1,8.97,9,1,1,1,8.25,0.770547,83.85,1,2,0,0,1
New York,28,53,19,2.9,66,17,1,9.3,0.2,9.7,18.8,13704991,47.6,52.4,38.3,86,35,6.5,60850,21.6,26.5,12.8,15,5,14.5,4.8,63.1,55.2,30.9,15.2,15.7,1,0,1,89908,15.3,34297,5916,92.9,15.4,0,1,0,1,1,95936,16.799999,0.55,-0.015061346,67.65573,2,0,1,1,1,1,1,0,1,1,0,1,4.9,7.3,1,1,1,7.5,0.71839825,85.01,1,2,0,0,1
North Carolina,41,43,17,2.4,71.1,23,1.9,3.2,0.1,3.3,9.1,7296335,47.7,52.3,38.4,86.6,29.4,6.9,47830,19.9,26.7,12.7,15.1,4.4,13.2,8.6,57.1,37.4,11.5,7.6,3.9,0,1,2,67516,14.2,26801,5926,88.8,16.4,1,0,0,1,1,98275,14.4,0.57,-0.2209353,43.66756,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,8.25,0.76651375,83.89,0,1,0,0,0
North Dakota,50,33,18,2.5,90.7,2.7,6.4,1.8,0.2,0.9,3.4,571119,51.2,48.8,34.9,92.5,29.1,2.6,60557,24.3,23.1,12.6,14.2,4.3,7.8,8,63.7,43.9,5.9,1.5,4.4,1,0,1,81460,6.9,34063,15015,92.2,11,0,0,1,0,0,221855,4.9000001,0.53,-0.061615434,44.70047,1,1,0,1,1,1,1,1,0,0,0,1,6.85,7.1,1,0,1,8,0.75886875,76.67,1,1,0,0,1
